name,city,rating,rating_count,cost,cuisine
Janta Sweet House,Abohar,4.4,50,200.0,"Sweets,Bakery"
theka coffee desi,Abohar,3.8,100,100.0,Beverages
Singh Hut,Abohar,3.7,20,250.0,"Fast Food,Indian"
Sam Uncle,Abohar,3.6,20,200.0,Continental
shere punjab veg,Abohar,4.0,100,150.0,North Indian
Hinglaj Kachori Bhandhar,Abohar,4.2,20,100.0,"Snacks,Chaat"
Sethi Milk Badam,Abohar,4.2,20,100.0,"Sweets,Desserts"
Bharawan Da Dhaba,Abohar,4.4,50,300.0,Indian
Roll Express,Abohar,4.0,20,200.0,Fast Food
FOODY MOOD,Abohar,4.7,20,300.0,"Fast Food,Chinese"
Royal Chicken,Abohar,4.2,20,200.0,"Mughlai,North Indian"
Domino's Pizza,Abohar,4.4,20,400.0,Pizzas
NIKKU VEG THALI,Abohar,4.1,100,150.0,North Indian
SUDESH FAST FOOD,Abohar,4.0,20,250.0,"Bakery,Chinese"
Bihari da vaishno dhaba,Abohar,4.0,20,200.0,North Indian
Sharma Bakery,Adilabad,3.5,20,100.0,Bakery
IFC Restaurant,Adilabad,3.5,100,400.0,American
Ayappa Fast Food,Adilabad,3.6,20,100.0,Chinese
Hot N Chill Restaurant,Adilabad,3.5,100,150.0,"European,Italian"
China Kitchen Fast Food,Adilabad,3.1,20,150.0,"Chinese,Fast Food"
Devi Family Restaurant,Adilabad,3.4,50,400.0,"Indian,Chinese"
Hotel Radha Grand Family restaurant,Adilabad,3.5,50,200.0,Biryani
Hotel Surabhi Grand,Adilabad,3.7,100,300.0,"Indian,Chinese"
Food Court,Adilabad,3.4,50,400.0,"Indian,Chinese"
Minerva Ice Cream,Adilabad,4.0,20,250.0,Desserts
Lotus Grand Family Restaurant,Adilabad,3.6,50,250.0,Biryani
Sri Sai Mom's Kitchen Restaurant,Adilabad,3.3,20,400.0,Biryani
Renuka Hotel,Adilabad,3.1,20,250.0,South Indian
Tanishq Family Restaurant,Adilabad,3.7,50,250.0,"Chinese,Indian"
KMC Hotel,Adilabad,3.6,20,100.0,Biryani
Kwality Walls Frozen Dessert and Ice Cream Shop,Adityapur,4.8,20,300.0,Desserts
La Pino'z Pizza,Adityapur,4.1,500,200.0,"Pizzas,Fast Food"
Chaw Box,Adityapur,3.3,100,300.0,"Chinese,North Indian"
Cafe Coffee Day,Adityapur,3.7,50,300.0,"Beverages,Snacks"
Aditya Inn Restaurant,Adityapur,3.6,100,150.0,"Biryani,Chinese"
Indian Bakery,Adityapur,3.3,100,200.0,Bakery
The Onyx (Pure veg),Adityapur,3.8,100,300.0,"Indian,Chinese"
NEW GANGOUR SWEETS (Adityapur),Adityapur,4.0,50,200.0,South Indian
National Bakery,Adityapur,4.4,50,399.0,"Bakery,Snacks"
KFC,Adityapur,4.0,500,400.0,"American,Snacks"
Buddha Delight - Gamharia,Adityapur,3.5,100,200.0,"Chinese,Indian"
Dosa Planet,Adityapur,3.9,500,249.0,"South Indian,Indian"
Pizza Hut,Adityapur,3.3,100,350.0,Pizzas
Junction,Adityapur,3.9,500,399.0,"Indian,Chinese"
Kolkata Royal Biryani,Adityapur,3.7,500,150.0,"Biryani,Street Food"
Yummerica Fries,Adityapur,3.8,50,400.0,"American,Beverages"
Tandoori Hut,Adityapur,4.4,20,400.0,"North Indian,Tandoor"
Karim's,Adityapur,2.7,20,500.0,"Snacks,Kebabs"
New Gangour Sweets (Bistupur),Adityapur,4.3,100,99.0,Sweets
Momo Nation Cafe,Adityapur,3.8,50,200.0,"Nepalese,Chinese"
NIC Natural Ice Creams,Adityapur,4.4,500,120.0,"Ice Cream,Desserts"
Haldiram's Prabhuji,Adityapur,4.0,100,300.0,"North Indian,South Indian"
Chowringhee Square,Adityapur,3.5,20,250.0,"Biryani,North Indian"
Kanya Restaurant,Adityapur,4.1,500,200.0,"North Indian,Chinese"
Domino's Pizza,Adityapur,4.1,50,400.0,Pizzas
Motel Madhuban,Adityapur,4.1,100,499.0,"Indian,Chinese"
Baker Street,Adityapur,4.1,100,150.0,Bakery
Dasaprakash,Adityapur,4.3,100,400.0,"South Indian,North Indian"
Biryani House,Adityapur,2.9,20,499.0,"Biryani,Indian"
Little Metro,Adityapur,3.9,100,200.0,"North Indian,Chinese"
The Madrasi Hotel,Adityapur,4.3,100,299.0,South Indian
Grameen Kulfi,Adityapur,4.5,100,120.0,"Ice Cream,Desserts"
Asian Inn,Adityapur,4.0,1,399.0,"Indian,Tandoor"
Biggies Burger,Adityapur,3.8,100,300.0,"American,Fast Food"
Kaveri (Adityapur),Adityapur,3.5,100,200.0,Indian
Subway,Adityapur,3.3,100,350.0,"Healthy Food,Salads"
What's up Food,Adityapur,3.6,20,200.0,Chinese
AUROUS RESTRO LOUNGE,Adityapur,4.0,100,500.0,"Continental,American"
The Novelty,Adityapur,2.7,20,249.0,"South Indian,Chinese"
Anand,Adityapur,4.3,500,299.0,"South Indian,Indian"
Kolkata Biryani - Jugsalai,Adityapur,3.8,50,150.0,Biryani
The Bawarchi,Adityapur,2.5,20,150.0,"North Indian,Chinese"
BEYOND TEMPTATION,Adityapur,3.3,20,199.0,"Pizzas,Pastas"
Milanee s Kitchen,Adityapur,4.2,100,399.0,"Bengali,Indian"
Al Karim Fast Food,Adityapur,4.2,100,200.0,"Street Food,Chinese"
Raj Sweets and Snackes (Sindhi),Adityapur,3.7,20,200.0,"Indian,South Indian"
The Moti Mahal,Adityapur,3.2,100,399.0,"Indian,Chinese"
Manohar Maharaj & Sons,Adityapur,4.3,50,100.0,"South Indian,Chaat"
Chinese Inn,Adityapur,4.2,50,399.0,"Chinese,Indian"
DELLISH,Adityapur,3.6,20,300.0,"Chinese,Continental"
Ramesh Kulfi,Adityapur,3.3,20,200.0,"Chinese,North Indian"
New Gangour Sweets,Adityapur,4.1,50,200.0,"Sweets,Snacks"
Fakira Chanachur,Adityapur,4.3,20,199.0,Snacks
Sehat World,Adityapur,3.8,20,50.0,"Beverages,Italian"
Brubeck Bakery,Adityapur,4.1,100,200.0,"Bakery,Desserts"
Annapurna,Adityapur,4.2,20,200.0,"Chinese,Tandoor"
The Chocolate Room,Adityapur,3.7,20,400.0,"Bakery,Beverages"
Le Bon,Adityapur,4.2,100,399.0,"Bakery,Pizzas"
New Chappan Bhog - Bistupur,Adityapur,4.3,20,200.0,"Sweets,Snacks"
TIME OUT,Adityapur,4.1,100,299.0,"Chaat,South Indian"
GUAVA - ALL DAY BISTRO,Adityapur,3.8,50,300.0,"Chinese,Biryani"
Chulha Chauka,Adityapur,3.5,20,100.0,"Thalis,Indian"
Olive  Multicuisine Restaurant,Adityapur,4.0,50,300.0,"Chinese,North Indian"
Hong Kong,Adityapur,4.0,20,400.0,Chinese
BAKING BOND,Adityapur,4.4,20,199.0,"Bakery,Desserts"
Blooms,Adityapur,3.8,50,250.0,Indian
Chai Break,Adityapur,4.3,20,400.0,"North Indian,Chinese"
BIRYANI  WALE,Adityapur,2.4,50,200.0,Biryani
